InputStoryid,InputSentence1,InputSentence2,InputSentence3,InputSentence4,RandomFifthSentenceQuiz1,RandomFifthSentenceQuiz2,AnswerRightEnding
d4aff04b-ba93-4cff-8b35-7eb10dd9e23f,Ron was watching a high-speed chase on TV.,The cop was chasing the bad guy through his neighborhood.,It was terrifying!,But then the cop caught the bad guy.,Ron started collecting bottle caps.,Ron applauded the officer's performance.,2
8db8ec1c-1d94-4f9d-b71d-3b533e30a1c5,Sam loved his old belt.,He matched it with everything.,Unfortunately he gained too much weight.,It became too small.,Sam went on a diet.,Sam was happy.,1
696b1a71-b684-45ec-8435-7b48274ee411,Larry bought a new motorcycle.,He was excited to look cool.,The first time he tried riding it he dropped it.,He hurt his leg and had to go to the hospital.,Larry loved going to the hospital.,Larry became careful.,2
1d14ed7d-5a05-476b-bfab-3e3568a0dd6b,I went on a blind date a few days ago.,She was cute and friendly.,We were set up through a co worker.,We seem to have some things in common.,Soon we were boyfriend and girlfriend and thinking of marriage.,We broke up right away.,1
9f32f9ef-0b7b-461b-953f-3d7da39bac87,Sammy's coffee grinder was broken.,He needed something to crush up his coffee beans.,He put his coffee beans in a plastic bag.,He tried crushing them with a hammer.,Sammy was not that into coffee.,It worked for Sammy.,2
3972aeda-e5f8-4776-abbb-8566bf38930a,Last week Jared was driving to work.,He had been partying hard the night before.,He didn't get any sleep.,Before he knew it his car was facing oncoming traffic.,Jared swerved quickly and managed to avoid a collision.,Jared decided to accelerate.,1
411b9523-5254-41ff-b740-e039d0423201,Joe grew a big batch of peas in his garden.,He brought the peas inside and shelled them all.,Then he cooked them up in a big pot.,"He added ham, bacon, and carrots to make thick pea soup.",Joe thought about working in the garden as he ate the yummy soup.,Joe dumped the pot outside because he hated soup.,1
36b638c3-f2d1-44dc-bab1-5bf2a9d7fdff,Aliza had a long lost ex-boyfriend she was bound to find.,"The problem was, he moved to a new state.",She decided to use Facebook to find him.,"She found him, but he was married with kids.","Aliza was sad, but she never contacted him again.",He fell in love with Aliza and they were married.,1
80b6447f-4c37-4194-9862-3785e5075463,Lina went to see how candy canes were made.,She watched as the workers added dye to the hot candy.,"Then, they stretched it out to make it shiny.","Finally, they shaped it into a cane and let it cool.",Lina now knew that candy canes were boring.,Lina felt a new appreciation for candy canes.,2
dd3506fe-31ce-4bbb-9000-02c222da3466,"When I first moved into my house, I didn't know my neighbors.","While mowing one day, I found a kickball in my yard.",I felt this was the perfect opportunity to meet my neighbors.,I grabbed the ball and went next door to return it.,They were very friendly.,I threw the kickball through their closed window.,1
ad42188e-383b-4c7d-9cd9-906725b7ce12,Bev had been studying very hard.,She couldn't wait for the weekend.,"When it came, she slept in very late.",Then she got up and went out to party.,"By Sunday night, Bev was exhausted again.","Bev got the mail and fed the fish, just like she did every day.",1
f8ff777f-de4d-4e3a-91bd-b197ed13f78e,We went to Frank Pepe's pizza shop three weeks ago.,The chain is quite famous in Connecticut.,The chain recently opened in Boston.,We went early to beat the crowd.,We walked 5 growling dogs at the park across town.,We had a great pizza at Frank Pepe's pizza shop.,2
dfdf2b81-86fa-48f0-8a47-488ccf3e086b,Bernice always wanted to travel to Africa.,Bernice decided she would take a trip for her birthday next year.,Bernice started to look at the price of airline tickets for the trip.,"In addition, Bernice looked up the price of hotels as well.",Bernice went to Europe for her birthday.,Bernice decided to get an airplane ticket and reserve a room.,2
de06c035-4c96-4ed0-89c2-3ce71e99e9d1,Jim made spinach cookies.,He sold them for five dollars each.,No one bought any.,"However, at the last minute a man wanted twenty.",He was surprised but thankful.,Jim thought he was crazy and left.,1
f547c9a1-be95-439d-922d-1417d7f6b818,Randy's friend gave him directions to his house.,He was supposed to take a right after the white house.,Randy continued to get lost.,He backtracked continuously until he finally found it.,Randy told his friend how relieved he was he found it.,Randy saw the house but kept on driving and didn't come back.,1
195a43c7-d43e-48e4-845b-fd6c75609df2,I decided to go on a bike ride with my brother.,We both headed out in the morning.,We were having a lot of fun.,"Suddenly, he hit a rock and broke his wheel!",Watching my brother crash was fun.,I felt very badly for my brother.,2
a11cf506-7d19-4ab9-b0ac-a0fd85a9bd38,Anna went to the salon.,She was getting her nails done for the first time.,"She was nervous, but the tech was friendly.",He did her nails quickly and expertly.,Anna felt very fashionable when she left the salon.,Anna really liked her new hairstyle.,1
b8c30925-f572-4ac3-b865-1cba592b6f0c,David and Sarah were friends during childhood.,"When they went to college, each moved to a different town.",Sarah received an unexpected call from David on Friday.,They had dinner and talked about their lives.,Sarah was glad they were able to catch up.,Sarah and david went to go get dinner right after that.,1
0a5489f1-beea-4ad6-a6d5-380ba2abd184,AJ and his mom were at the grocery store.,Aj was looking at a cereal box and when he looked up his mom was gone.,He immediately started to feel panic.,Then his mom stepped out from behind a display of soup.,AJ then began to feel sad.,AJ let out a sigh of relief.,2
fe3caede-4b19-410a-b08f-84d71b18e9f4,Joe went to the junkyard to find treasures.,He dug through a stack of old clothes.,At the bottom was a vintage shirt with a rock band on it.,Joe put the shirt on to try it out.,Joe was happy the shirt fit.,Joe hated rock music afterwards.,1
e689960d-0515-424b-aac3-5d7160ac2577,Priya decided to try a new restaurant.,She drove to a new cafe that opened.,Priya sat at a booth.,She ordered a mimosa and a breakfast burrito.,Priya thought her food was delicious.,Priya decided not to eat and left.,1
57d5152a-77db-4156-8330-166edb36b0a2,Karen was assigned a roommate her first year of college.,"One day, her roommate asked her to go to a nearby city for a concert.",Karen agreed happily.,The show was absolutely exhilarating.,Karen hated her roommate.,Karen became good friends with her roommate.,2
726a0fc9-8c6f-451e-838b-c48140817dfc,We took a family vacation to the beach last year.,I spent a lot of time reading with my mom on the beach.,"One day while reading, I got stung by a horrible beach wasp.","My arm swelled and was painful, I almost had to go to the hospital.",Eventually I healed.,I found I loved being swollen.,1
696b9d6a-40a4-434d-8a01-aec20c4400a3,Donald was kind of the class clown.,He wanted to be class president.,So he figured if he acted like an idiot people would vote for him.,He would get up and just yell and be foolish.,Don hated elections.,Donald hoped this foolishness won him the election.,2
16eeb330-b579-4a0f-a1e6-0b7aad454c54,Eddie and Angela hadn't been talking to each other for a long time.,They lived in their house together like strangers.,"Finally, they sat down and agreed, it was time for a divorce.",Eddie went to the courthouse and filed the paperwork.,They were divorced a few months later.,They fell back in love and stayed together forever.,1
ed614284-2364-4b9c-bc02-5e0aad3d8968,Rachel adopted a cat over ten Years ago.,"Suddenly, the cat was acting more lethargic and losing weight.","Concerned, Rachel took her cat to the vet.",The vet told Rachel that her cat had developed cancer.,Rachel was excited to hear the news.,The vet treated her cat's cancer the best they could.,2
87678fdf-ad4e-4ff0-93d0-039fa451b49b,Jim is a new driver and has never been pulled over before.,Yesterday he was pulled over for speeding.,The officer explained to him why he was being given a ticket.,Jim will have to work overtime to pay for the ticket.,Jim is very upset.,Jim was happy to see the officer.,1
33882739-51ca-446f-8bd0-2bbf7cfcba37,I love avocados.,I ate a sandwich covered in them.,"After I ate it, my mouth was itchy and tingly.",I talked to my doctor about it later.,"He said I was paranoid, and charged me $100.",It turned out I was allergic to avocados.,2
3ef66340-b2fd-4c12-bc1c-b28730b571a1,David was an author that had trouble finding inspiration for his work.,One day he had a dream of him being in a post apocalyptic world.,He thought that this was destiny and began to write his thoughts.,Eventually he had hundreds of pages written.,David then uploaded his new video.,David then had his manuscript published.,2
26b26a0d-d7c5-4c50-bb94-bd236cd6b46f,Boris was addicted to video games.,His mother was concerned.,She called a psychologist to get help.,The psychologist tried to convince Boris to stop his addiction.,Boris realized he was wasting his life.,Boris decided to wear the dress.,1
0c0d57aa-92eb-4bb3-8c65-6ce4d89e10a3,A police officer came down with the flu today.,He was unable to go into work as he could barely get out of bed.,His wife spent time taking care of him and making sure he was okay.,He made sure to drink enough and eat enough.,The police officer had to give up his badge and gun.,The police officer eventually got better.,2
1ad020f7-a18a-45f9-a112-b9ca83afcad2,My friend nathan and his family went to the lake one summer.,One day Nathan's dad left and didn't leave a lighter for his mom.,Well his mom was very upset and made him walk to the store barefoot.,Poor Nathan had to walk down a gravel road to bring his mom matches.,"When Nathan returned, he felt very happy for the exercise.","When Nathan returned, his mom apologized for being so mean.",2
31dd2600-d4c3-4f15-a336-cd0c32237d06,Gary was a brave child.,One day he decided to climb over the fence in his backyard.,His parents looked all over for him.,They found him sitting on the swing at the park.,Gary's parents were relieved to find him.,Gary's parents were disappointed to find him.,1
a9982ad1-a78e-4ab3-b9d5-4f3679d3e043,Timmy was caught with unpaid parking tickets.,He didn't have enough money to pay for them.,Instead he had to be arrested and jailed for two days.,He lost his jobs for missing work.,Timmy was promoted for working so much all the time.,"Timmy then had to find another job,",2
a62e9212-e75b-4078-ae68-f56a1164dc70,"When I was younger, I went to summer camp.",We had a lot of fun playing games with the counselors.,My favorite thing to do was play cards.,The camp counselors knew so many different card games.,My time with the minister was very useful.,My favorite card game was poker.,2
67cf2fb0-431a-404d-9c9f-826dd2d3472b,Amber had a lot of things to do this Sunday.,She made a list of all the places she needed to go.,She hurried to get ready.,She was worried that she would not have enough time.,Amber enjoyed a relaxing two hour brunch.,Amber was so hurried she left the list at home.,2
dba303f0-ede3-4834-aad4-767eadafa744,Eve needed a new couch in her parlor.,But she could not afford to buy one!,Then she went to a secondhand store and found a great one.,She had it delivered and set up in her living room.,She bought a new couch to replace it.,Eve thought the couch was very comfortable.,2
7c183d9b-d1fd-414f-8c95-c17132422732,Jason was terrified of spiders.,He went to a therapist and discussed his fear.,His therapist said he should confront his fear to overcome it.,Jason's homework was to look for a spider in his basement.,He found a very large spider there.,Jason took a hot shower.,1
5b6f539e-eb73-4ca4-b359-a1f85e96effd,Linda began to have problems with a coworker at her job.,The coworker had started bossing her around at work.,The coworker even talked behind her back.,Linda went to her boss with the issue and the boss mediated them.,Her boss fired her the next day.,Linda and the coworker ended up being best friends.,2
cb1dd642-75fd-43ae-bb80-d019a2a9cb8e,Sara wanted her kids to have a great Christmas.,She saved all year and started her shopping in November.,She shopped deals and spent all her savings.,She spent two days wrapping dozens of presents.,All of the presents were wrapped and stored for the holidays.,She returned all of the presents for cheaper ones.,1
0f797de2-3d82-46d1-a370-c278a36ad785,Megan has been struggling with a drug habit for years.,She hit rock bottom when she lost her family and kids.,Her distant family decided to stage an intervention.,"After the event, she got into a rehab facility.",She was able to get off drugs after some time.,"When she arrived, she did drugs all day.",1
6623b60e-9200-4019-9a95-521adc03524d,Tyler has been unemployed for Years.,He has spent the last few months diligently applying for work.,"However, all of his applications are rejected.",The rejections contribute to Tyler's feelings of desperation.,He is thrilled about his new responsibilities at work.,He realizes he might have to apply for public assistance.,2
57f0ad88-0dad-4cce-95da-30175ff0ba40,Bobby was having a birthday party.,His friends bought him a huge cake.,A woman jumped out of the cake.,Bobby was surprised and amused.,Bobby had a good party.,Bobby was mad at his friends.,1
a5ac20db-ed05-49d7-8960-2035a9dce14d,It was the last day of our vacation.,We were eating lunch on the patio of the hotel.,We laughed and smiled because it was a great vacation.,Then we packed our bags and drove to the airport.,We want to revisit someday.,We all vowed to never go back again.,1
3f191c72-305c-487d-8da0-7335fedc270f,Mother asked the children to help fold laundry.,The children took the clean clothes into the living room.,They dumped the clothes on the floor.,They folded the clothes neatly into piles.,The clothes were filthy and unfolded.,They then put their clothes up neatly.,2
dacd5655-337c-4c89-a87f-edd54067cfb9,Timmy loves watching cartoons.,His parents don't let him watch unless he does his chores.,Today's chore is to clean his room.,Timmy's room is a mess.,Timmy went to the mess hall for breakfast.,Timmy spent all day cleaning so he could watch tv.,2
85cc4bad-5cd3-494f-be90-e3c16e512cab,My daughter had her baby shower in our Boston home.,She invited friends and family in the area.,Her old college roommate lives in Hawaii.,She decided to surprise my daughter by flying 4800 miles.,My daughter was disappointed.,My daughter was excited.,2
7e12768d-0e37-4940-9dcf-186ba3916660,Pam's house was where the party was.,Everyone bought gifts.,Pam bought a cake.,Everyone danced and had fun!,Pam was a lousy hostess.,Pam was a good hostess.,2
d10f40c6-f5f0-4273-82e0-90aa22520588,Ellen always hated school.,The kids made fun of her every day.,They called her smelly Elly.,She decided to start taking baths.,Ellen liked the negative attention.,Ellen was appalled.,2
322525fb-6970-4c56-89ae-375664d8e320,Jim got his first credit card in college.,He didn't have a job so he bought everything on his card.,"After he graduated he amounted a $10,000 debt.",Jim realized that he was foolish to spend so much money.,Jim decided to devise a plan for repayment.,Jim decided to open another credit card.,1
9bc05c17-a739-462c-970c-f5279779f3a5,Tim was entering a baking contest.,He decided to make his famous donuts.,He made a big batch and entered them into the contest.,The judges thought they were delicious.,The judges vomited from the taste of the donuts.,Tim won the baking contest.,2
9843660b-4a86-4cae-b6d7-03d73b88426e,My two year old son refused to wear training pants.,He always begged to wear a diaper.,"One day, out of frustration, I let him remain naked.",He went to the potty and used it when I wasn't looking.,Now I don't try to make him wear training pants.,Child protection services removed him from the home.,1
e721d415-d8b9-479f-a476-bc3f3a239140,Holly was glad to be safely inside her house as the storm raged.,She was watching the storm as she heard a loud crack.,Lightning had hit a tree beside the house.,She stared as she watched it fall.,She went outside to fly a kite.,She was relieved that it didn't hit anything.,2
9409bd0a-fbdd-4450-8b41-5aac05fd5c36,Jill saw an infomercial for unbreakable glass cups.,She was amazed and ordered them.,"When Jill received the cups, she wanted to test them.",She dropped one on her hardwood floor.,It broke and Jill felt dumb for believing the hype.,"The cloth ripped in two, much to Jill's surprise.",1
00d73c9e-6441-4b23-ad78-f33490a6a1ec,Addie was working at the mall at Hollister when a strange man came in.,"Before she knew it, Addie looked behind her and saw stolen clothes.",Addie got scared and tried to chase the man out.,Luckily guards came and arrested him.,Addie was put in jail for her crime.,Addie was relieved and took deep breaths to calm herself.,2
a2685475-307b-49a3-85f8-07b32c63e062,Sean was going for a job interview.,He arrived at the business and asked for the manager.,The manager took him to the back and interviewed him.,"Then, the manager showed him around and explained the job.",The manager hoped Sean would perform badly.,The manager wanted Sean to understand everything.,2
1bfde41c-01ea-4af8-a5c3-706b8af6cec6,Fred made a bet with Sam over who could lose more weight in a month.,"Fred really wanted to win the bet, which was for $100.","Fred worked out daily, avoided fast food, and skipped dinner.",At the end of the month Fred was feeling confident he would win.,Fred cancelled the bet at the end of the month.,"Fred ended up winning the bet, and the $100.",2
749b0981-388d-4deb-83d4-b4bc35b4a168,John went skydiving for the first time.,He went with an instructor on a plane into the air.,He screamed when they jumped.,John was terribly afraid of heights and passed out.,John loved every second of the skydiving trip.,"When he woke up, he had already landed.",2
7d9b0578-4621-460a-9d67-9705079b0a1c,Gina and her family were leaving the park.,They had been there all afternoon.,Now they were going to her aunt's house.,Gina begged to be dropped off at her grandma's,Gina hated her grandma.,Gina loved her grandma.,2
71db6e1d-bcb4-4849-bded-f252a32c927c,Kaya needed to buy a new dress for the upcoming Spring Formal.,She went to the mall with several of her friends.,The girls all had a good time visiting shops and trying on dresses.,Kaya found a dress that she loved that was a nice coral color.,She couldn't resist so she bought the antique vase.,It was kind of expensive but she decided it was worth it.,2
41548819-7537-4bbe-8c20-ba78feb5fe0d,Tyler wanted to have a balloon party with tons of balloons.,He and his friends and his parents blew up the balloons.,He and his friends played with the balloons and had a lot of fun.,They got tired and watched a movie and had dinner.,It had been a very fun day.,Tyler felt like his parents never let him do anything.,1
e4443872-3ac9-465e-9d99-88ab9720da81,Jimmy went skateboarding this afternoon.,It was the third time this week.,He's getting good at it and really likes it.,He fell once but hasn't given up.,"After all his practice this week, Jimmy has learned a new trick.",Jimmy has decided to give away his skateboard.,1
aa03cc32-e85b-4710-8120-aeaba4af65b0,Maxine usually hates to shave her legs.,She doesn't like the feeling of using a razor.,One night Maxine has a big date and decides to wear a dress.,She shaves her legs for the occasion.,Maxine doesn't want to go on the date.,Maxine gets laser removal next time.,2
bcde1c24-5e48-4ba9-a8b5-362db0db0129,Ryan loved to customize his bike.,He decided to add some LED lights to the bike frame and wheels.,He ordered the parts from eBay.,"When they arrived, he assembled them.",Ryan loved how his bike looked.,Ryan decided not to ride his bike anymore.,1
107793ec-8721-4897-b0de-17db3578fc10,One day I wanted to cook a nice dinner for my family.,I decided to cook spaghetti.,I boiled the noodles and put the sauce in a pot on the stove.,I turned the stove on too high.,The sauce burned and stuck to the bottom of the pan.,It took forever for the sauce to heat up.,1
0f36f4a6-da40-4c61-a4cc-db237df8f1b6,Nick was challenged to a volleyball match.,His girlfriend bet him five dollars she could beat him.,Nick did not intend to let her win!,He played hard and mercilessly.,Nick beat his girlfriend and she gave him the five dollars.,Nick gave up because he didn't care if his girlfriend won.,1
ae91c584-b9d3-4a0e-b166-6928531d1bed,Some friends and I made a Counter-Strike team.,We practiced a lot for an upcoming tournament.,We got to the tournament and went over strategies.,We played a tough 6 games.,We felt pleased with our performance.,We felt we had performed badly.,1
bee259be-fcd9-4043-9047-0e199aaa8214,Michelle found a fat tuxedo cat outside her house.,She put up posters all over her neighborhood.,"After three weeks, no one had called Michelle about the cat.",Michelle decided to keep the cat for herself.,Michelle gave the cat to her neighbor.,"Michelle named the cat, ""Socks.""",2
45896107-bb21-48b8-845d-619d8c19bc34,Neil was visiting Ireland.,His train had just arrived in Derry.,"As he disembarked, he caught his breath.",It was as gorgeous as a fairy tale!,Neil decided never to return to Ireland.,Neil enjoyed Ireland.,2
f36a34dc-1b78-4af1-9e48-5ec9d369feb5,Mary went to the park.,She wanted to show off her new dress.,A bird flew over Mary and pooped.,Her dress became covered in bird poop.,Mary was happy to be showing off her dress.,Mary was upset that her dress was ruined.,2
49c51e74-be6e-45b9-a223-4c0835ad76c1,Scott knew someone was stealing packages from his porch.,He set up a surveillance camera near his door.,He felt that he would at least have a video of the thief.,"One day, Scott saw footage of the perpetrator.",Scott gave him a high five.,Scott apprehended the perpetrator.,2
f8594fc8-df33-49d7-a5a9-045765ca8eda,Colin was invited to the bar by his friends.,He loves beer but thinks it's too expensive at the bars.,He decided to go anyway.,He gave himself a budget.,Colin stuck to his budget and only drank 2 beers.,Colin drinks beer at the bar all night.,1
ab1265ac-d06e-4bad-ba0e-0219d63d3357,Jordan was planning on moving to Mexico.,Jordan decided that he should learn Spanish.,He ended up purchasing a language learning program from Amazon.,Everyday he worked on the program for at least 2 hours.,Jordan knew some conversational Spanish by the time he moved.,Jordan didn't like fish tacos at all.,1
c71454d3-16c6-4852-bb0e-1149fd2b0e52,Fred is brand new to exercising and just joined a gym.,He was amazing at how expensive a personal trainer was.,He wanted to get into shape but couldn't afford the rates.,He found personal trainer routines online for free.,He never worked out again.,He was happy with his decision.,2
d3615153-cfb9-4583-bd93-e1814c250a1c,It was the second match of the volleyball season.,Amy was hopeful she would get a chance to play.,After the first game they were ahead.,Her coach put her in the game.,She finally got her chance to play in the match.,She asked the coach to find someone else.,1
1be803ad-225f-4b93-a5ce-3d96deedc495,Ellen had had four miscarriages in a row.,Her husband Tim despaired of ever becoming a dad.,Then the doctor called him at work.,He told him that there was great news about Ellen.,The doctor told Tim that Emily went for a run.,The doctor told Tim that Ellen was finally pregnant.,2
b64b9a40-4e69-4381-ae49-035edf71a232,David asked his mother if he could pour his own drink.,"His mother agreed, but warned him to be careful.",David accidentally knocked over his glass which shattered everywhere.,His mother cheerfully forgave David.,David ate a cheeseburger.,David promised to be more careful in the future.,2
e5ce589a-86a4-4f4e-9a51-87220abdf821,Neil wanted to play hockey.,He borrowed some gear from his friends.,Then he geared up and headed to the rink.,He practiced for days.,Neil played baseball.,Neil played in the competition.,2
e2f74079-bcd6-485a-80c6-24be4fca4ae9,My friend  Cam was an Amazon bookseller.,"He had 4,000 books stored in a garage.",He made enough money to live simply.,His house caught on fire one day and he lost his collection.,Cam has since decided to insure his belongings.,"Afterwards, Cam was able to sell more books than he ever had.",1
c473c07a-630f-48e2-b6dd-ebb34d815fc2,Rosie's teacher's birthday was coming up in 5 days.,Rosie did not have money to buy a present.,She asked her grandmother to teach her how to draw sunflowers.,Rosie drew a big sunflower and painted it with watercolor.,Rosie's teacher loved the gift.,Rosie's teacher gave her detention.,1
8ae17467-e396-4f89-9d2a-eeade4539358,A man ordered an antique clock on eBay.,He received a box containing six blown fuses and a jar of pickles.,He filed a complaint with eBay.,EBay refused to process a refund.,The man is furious.,Ebay is a very reputable company.,1
8e61c1c5-582f-4379-b332-dcb96faf3bf9,Tom and Dick loved their trucks.,They would go out in the desert every week.,They would kick up dirt and play around.,Then Tom's truck broke down.,"It cost a lot of money, but he got it repaired.",Tom knew it would be expensive to repair his boat.,1
a28a894f-ea54-438a-93c5-cae7e4564ec4,Harry went to the theme park with his family.,His dad and brother rode on a big roller coaster with him.,He then rode on some smaller rides with his mom.,The family ate at a restaurant at the park.,Harry didn't like theme parks.,Harry had a great time at the park.,2
932e37d4-1305-4e54-8fee-ba649e7c7206,I had a presentation in art.,My teacher failed me although I did everything right.,He allowed me to repeat my presentation and failed me again.,I believed that I did the presentation correct and stood up for it.,My teacher suggested I pursue art school.,The teacher agreed to discuss it with me.,2
f935f831-38bc-4b00-83c6-3891a4dacefc,Leah had a hockey game.,All of her family came to cheer her on.,But when she got there she realized they were short handed.,Only a handful of girls showed up to play.,Leah was very happy to hear the news.,The game was canceled.,2
345e1032-0c47-48e6-9968-e04baa479d06,Ava started to notice wrinkles by her eyes.,She bought an expensive wrinkle cream.,She applied it every night.,After a month she checked her eyes out carefully.,She decided to buy more toothpaste.,She was happy to see her wrinkles were gone.,2
bb5695c6-6c1c-4de6-b56c-6b23077d3df5,Harry shopped a lot online and was looking to buy a new camera.,He researched different cameras online and decided to buy one.,He made the purchase and the camera arrived in the mail the next week.,"When Harry opened the package, he found that the camera was damaged.","Annoyed, he contacted the retailer to complain about the damage.",Harry spent the evening happily taking pictures.,1
6ab897f0-4f61-40f1-afa6-e9485e44316d,Jasper has been avoiding getting a real job for months.,He has hated all the previous office jobs that he had.,One day he sees a job opening at his local butcher.,He applies successfully for the job at the butcher.,Jasper quits his job the next day.,Jasper enjoys cutting dead animals.,2
